compression,eb,data,metric,decompression error
sz,0.07,ettm2,nrmse,0.0153603143990039
sz,0.1,ettm2,nrmse,0.0214352086186409
sz,0.15,ettm2,nrmse,0.03248992562294
sz,0.2,ettm2,nrmse,0.0436712875962257
sz,0.25,ettm2,nrmse,0.0558745712041854
sz,0.3,ettm2,nrmse,0.0635055005550384
sz,0.4,ettm2,nrmse,0.0903459191322326
sz,0.5,ettm2,nrmse,0.1189502999186515
sz,0.65,ettm2,nrmse,0.1803847849369049
sz,0.8,ettm2,nrmse,0.2569851279258728
pmc,0.01,ettm2,nrmse,0.0019437313312664
pmc,0.03,ettm2,nrmse,0.0064234095625579
pmc,0.05,ettm2,nrmse,0.0104606049135327
pmc,0.07,ettm2,nrmse,0.0143949557095766
pmc,0.1,ettm2,nrmse,0.0197378024458885
pmc,0.15,ettm2,nrmse,0.0282331686466932
pmc,0.2,ettm2,nrmse,0.0371290296316146
pmc,0.25,ettm2,nrmse,0.0458770617842674
pmc,0.3,ettm2,nrmse,0.0561833903193473
pmc,0.4,ettm2,nrmse,0.0720282867550849
pmc,0.5,ettm2,nrmse,0.082645371556282
pmc,0.65,ettm2,nrmse,0.0904617980122566
pmc,0.8,ettm2,nrmse,0.0967928394675254
swing,0.01,ettm2,nrmse,0.0021320129744708
swing,0.03,ettm2,nrmse,0.0066355220042169
swing,0.05,ettm2,nrmse,0.0116486120969057
swing,0.07,ettm2,nrmse,0.016406001523137
swing,0.1,ettm2,nrmse,0.0243581850081682
swing,0.15,ettm2,nrmse,0.0372645668685436
swing,0.2,ettm2,nrmse,0.0500707402825355
swing,0.25,ettm2,nrmse,0.0619738362729549
swing,0.3,ettm2,nrmse,0.0704167932271957
swing,0.4,ettm2,nrmse,0.0957638621330261
swing,0.5,ettm2,nrmse,0.121657520532608
swing,0.65,ettm2,nrmse,0.1744983792304992
swing,0.8,ettm2,nrmse,0.2366536557674408
sz,0.01,ettm2,rse,0.0125126354396343
sz,0.03,ettm2,rse,0.0358812995254993
sz,0.05,ettm2,rse,0.0599904172122478
sz,0.07,ettm2,rse,0.0834124684333801
sz,0.1,ettm2,rse,0.1164015084505081
sz,0.15,ettm2,rse,0.1764328926801681
sz,0.2,ettm2,rse,0.2371520549058914
sz,0.25,ettm2,rse,0.3034206330776214
sz,0.3,ettm2,rse,0.3448594808578491
sz,0.4,ettm2,rse,0.4906134009361267
sz,0.5,ettm2,rse,0.6459463238716125
sz,0.65,ettm2,rse,0.9795594811439514
sz,0.8,ettm2,rse,1.39552903175354
pmc,0.01,ettm2,rse,0.0105552161112427
pmc,0.03,ettm2,rse,0.0348816104233264
pmc,0.05,ettm2,rse,0.0568051524460315
pmc,0.07,ettm2,rse,0.0781701952219009
pmc,0.1,ettm2,rse,0.1071839332580566
pmc,0.15,ettm2,rse,0.1533170640468597
pmc,0.2,ettm2,rse,0.2016250491142273
pmc,0.25,ettm2,rse,0.2491302788257599
pmc,0.3,ettm2,rse,0.3050976097583771
pmc,0.4,ettm2,rse,0.3911415636539459
pmc,0.5,ettm2,rse,0.4487964808940887
pmc,0.65,ettm2,rse,0.4912427067756653
pmc,0.8,ettm2,rse,0.5256227254867554
swing,0.01,ettm2,rse,0.011577658355236
swing,0.03,ettm2,rse,0.03603345900774
swing,0.05,ettm2,rse,0.063256487250328
swing,0.07,ettm2,rse,0.0890909656882286
swing,0.1,ettm2,rse,0.1322743892669677
swing,0.15,ettm2,rse,0.2023610770702362
swing,0.2,ettm2,rse,0.2719035744667053
swing,0.25,ettm2,rse,0.336542010307312
swing,0.3,ettm2,rse,0.3823905289173126
swing,0.4,ettm2,rse,0.5200349688529968
swing,0.5,ettm2,rse,0.6606476306915283
swing,0.65,ettm2,rse,0.9475939273834229
swing,0.8,ettm2,rse,1.285121202468872
sz,0.01,ettm2,corr,0.9999224543571472
sz,0.03,ettm2,corr,0.999359130859375
sz,0.05,ettm2,corr,0.99823397397995
sz,0.07,ettm2,corr,0.9965534806251526
sz,0.1,ettm2,corr,0.9935044050216676
sz,0.15,ettm2,corr,0.9857264757156372
sz,0.2,ettm2,corr,0.973996102809906
sz,0.25,ettm2,corr,0.9618213176727296
sz,0.3,ettm2,corr,0.9541202187538148
sz,0.4,ettm2,corr,0.9243223071098328
sz,0.5,ettm2,corr,0.8918285369873047
sz,0.65,ettm2,corr,0.84490966796875
sz,0.8,ettm2,corr,0.861467182636261
pmc,0.01,ettm2,corr,0.999944269657135
pmc,0.03,ettm2,corr,0.9993913769721984
pmc,0.05,ettm2,corr,0.9983851909637452
pmc,0.07,ettm2,corr,0.9969399571418762
