,eb,eblc,metric,value,model,tfe,data,te_metric,te
33,0.023,pmc,mae,0.3162331283092499,nbeats,0.10081629264209492,weather,corr,0.9678610563278198
34,0.023,pmc,mae,0.3453710824251175,transformer,0.1006423438701937,weather,mae,3.30318284034729
34,0.023,pmc,mae,0.3453710824251175,transformer,0.1006423438701937,weather,rmse,4.093139171600342
34,0.023,pmc,mae,0.3453710824251175,transformer,0.1006423438701937,weather,nrmse,0.0382894240319728
34,0.023,pmc,mae,0.3453710824251175,transformer,0.1006423438701937,weather,rse,0.2514860332012176
34,0.023,pmc,mae,0.3453710824251175,transformer,0.1006423438701937,weather,corr,0.9678610563278198
35,0.025,pmc,mae,0.3151638507843017,dlinear,0.1162678257619942,weather,mae,3.5050859451293945
35,0.025,pmc,mae,0.3151638507843017,dlinear,0.1162678257619942,weather,rmse,4.336653232574463
35,0.025,pmc,mae,0.3151638507843017,dlinear,0.1162678257619942,weather,nrmse,0.0405673868954181
35,0.025,pmc,mae,0.3151638507843017,dlinear,0.1162678257619942,weather,rse,0.2664477229118347
35,0.025,pmc,mae,0.3151638507843017,dlinear,0.1162678257619942,weather,corr,0.9638494253158568
36,0.025,pmc,mae,0.3023849278688431,gru,0.136463446058385,weather,mae,3.5050859451293945
36,0.025,pmc,mae,0.3023849278688431,gru,0.136463446058385,weather,rmse,4.336653232574463
36,0.025,pmc,mae,0.3023849278688431,gru,0.136463446058385,weather,nrmse,0.0405673868954181
36,0.025,pmc,mae,0.3023849278688431,gru,0.136463446058385,weather,rse,0.2664477229118347
36,0.025,pmc,mae,0.3023849278688431,gru,0.136463446058385,weather,corr,0.9638494253158568
37,0.025,pmc,mae,0.3098265826702118,informer,0.10690540786865806,weather,mae,3.5050859451293945
37,0.025,pmc,mae,0.3098265826702118,informer,0.10690540786865806,weather,rmse,4.336653232574463
37,0.025,pmc,mae,0.3098265826702118,informer,0.10690540786865806,weather,nrmse,0.0405673868954181
37,0.025,pmc,mae,0.3098265826702118,informer,0.10690540786865806,weather,rse,0.2664477229118347
37,0.025,pmc,mae,0.3098265826702118,informer,0.10690540786865806,weather,corr,0.9638494253158568
38,0.025,pmc,mae,0.3214960396289825,nbeats,0.11553598908822943,weather,mae,3.5050859451293945
38,0.025,pmc,mae,0.3214960396289825,nbeats,0.11553598908822943,weather,rmse,4.336653232574463
38,0.025,pmc,mae,0.3214960396289825,nbeats,0.11553598908822943,weather,nrmse,0.0405673868954181
38,0.025,pmc,mae,0.3214960396289825,nbeats,0.11553598908822943,weather,rse,0.2664477229118347
38,0.025,pmc,mae,0.3214960396289825,nbeats,0.11553598908822943,weather,corr,0.9638494253158568
39,0.025,pmc,mae,0.3507586866617203,transformer,0.1144563513421144,weather,mae,3.5050859451293945
39,0.025,pmc,mae,0.3507586866617203,transformer,0.1144563513421144,weather,rmse,4.336653232574463
39,0.025,pmc,mae,0.3507586866617203,transformer,0.1144563513421144,weather,nrmse,0.0405673868954181
39,0.025,pmc,mae,0.3507586866617203,transformer,0.1144563513421144,weather,rse,0.2664477229118347
39,0.025,pmc,mae,0.3507586866617203,transformer,0.1144563513421144,weather,corr,0.9638494253158568
40,0.027,pmc,mae,0.3217532336711883,dlinear,0.13436632192649894,weather,mae,3.773116111755371
40,0.027,pmc,mae,0.3217532336711883,dlinear,0.13436632192649894,weather,rmse,4.655881881713867
