eb,compression,tfe_metric,forecasting error,model,TFE,data,te_metric,te,cr
0.013,SZ,nrmse,0.077232882,NBEATS,0.045610988,WEATHER,nrmse,0.02851115,14.93
0.013,SZ,nrmse,0.088917926,TRANSFORMER,0.054365788,WEATHER,nrmse,0.02851115,14.93
0.015,SZ,nrmse,0.07299751,DLINEAR,0.046220539,WEATHER,nrmse,0.033263035,16.4
0.015,SZ,nrmse,0.076638244,GRU,0.097744592,WEATHER,nrmse,0.033263035,16.4
0.015,SZ,nrmse,0.075667419,INFORMER,0.075068317,WEATHER,nrmse,0.033263035,16.4
0.015,SZ,nrmse,0.079459053,NBEATS,0.072349695,WEATHER,nrmse,0.033263035,16.4
0.015,SZ,nrmse,0.090041727,TRANSFORMER,0.066168145,WEATHER,nrmse,0.033263035,16.4
0.017,SZ,nrmse,0.072956696,DLINEAR,0.045686964,WEATHER,nrmse,0.037890889,16.78
0.017,SZ,nrmse,0.078148384,GRU,0.115179778,WEATHER,nrmse,0.037890889,16.78
0.017,SZ,nrmse,0.078309834,INFORMER,0.106278367,WEATHER,nrmse,0.037890889,16.78
0.017,SZ,nrmse,0.08114567,NBEATS,0.091630963,WEATHER,nrmse,0.037890889,16.78
0.017,SZ,nrmse,0.094053529,TRANSFORMER,0.106000237,WEATHER,nrmse,0.037890889,16.78
0.02,SZ,nrmse,0.076797906,DLINEAR,0.093418955,WEATHER,nrmse,0.04527726,19.45
0.02,SZ,nrmse,0.082314447,GRU,0.159961914,WEATHER,nrmse,0.04527726,19.45
0.02,SZ,nrmse,0.081375539,INFORMER,0.139948032,WEATHER,nrmse,0.04527726,19.45
0.02,SZ,nrmse,0.08862346,NBEATS,0.168276503,WEATHER,nrmse,0.04527726,19.45
0.02,SZ,nrmse,0.101261441,TRANSFORMER,0.169636218,WEATHER,nrmse,0.04527726,19.45
0.023,SZ,nrmse,0.080320805,DLINEAR,0.133181921,WEATHER,nrmse,0.052931562,21.52
0.023,SZ,nrmse,0.087720133,GRU,0.211728625,WEATHER,nrmse,0.052931562,21.52
0.023,SZ,nrmse,0.086257111,INFORMER,0.188621185,WEATHER,nrmse,0.052931562,21.52
0.023,SZ,nrmse,0.095136765,NBEATS,0.22521841,WEATHER,nrmse,0.052931562,21.52
0.023,SZ,nrmse,0.108630601,TRANSFORMER,0.225965503,WEATHER,nrmse,0.052931562,21.52
0.025,SZ,nrmse,0.082205404,DLINEAR,0.153054141,WEATHER,nrmse,0.05787826,22.98
0.025,SZ,nrmse,0.090488978,GRU,0.235848698,WEATHER,nrmse,0.05787826,22.98
0.025,SZ,nrmse,0.088889334,INFORMER,0.212648027,WEATHER,nrmse,0.05787826,22.98
0.025,SZ,nrmse,0.097731359,NBEATS,0.245787484,WEATHER,nrmse,0.05787826,22.98
0.025,SZ,nrmse,0.111745048,TRANSFORMER,0.247538624,WEATHER,nrmse,0.05787826,22.98
0.027,SZ,nrmse,0.084117752,DLINEAR,0.172308759,WEATHER,nrmse,0.062154856,22.88
0.027,SZ,nrmse,0.092748459,GRU,0.254464488,WEATHER,nrmse,0.062154856,22.88
0.027,SZ,nrmse,0.090602368,INFORMER,0.22753462,WEATHER,nrmse,0.062154856,22.88
0.027,SZ,nrmse,0.098106563,NBEATS,0.248671934,WEATHER,nrmse,0.062154856,22.88
0.027,SZ,nrmse,0.112782393,TRANSFORMER,0.254459576,WEATHER,nrmse,0.062154856,22.88
0.03,SZ,nrmse,0.08515007,DLINEAR,0.182343294,WEATHER,nrmse,0.066640988,23.46
0.03,SZ,nrmse,0.095431317,GRU,0.275423702,WEATHER,nrmse,0.066640988,23.46
0.03,SZ,nrmse,0.09099577,INFORMER,0.230874218,WEATHER,nrmse,0.066640988,23.46
0.03,SZ,nrmse,0.098955993,NBEATS,0.255121268,WEATHER,nrmse,0.066640988,23.46
0.03,SZ,nrmse,0.112387154,TRANSFORMER,0.251837691,WEATHER,nrmse,0.066640988,23.46
0.05,SZ,nrmse,0.104333814,INFORMER,0.395224033,WEATHER,nrmse,0.088055789,29.09
0.05,PMC,nrmse,0.081326365,INFORMER,0.161038446,WEATHER,nrmse,0.064979888,118.62
0.05,SWING,nrmse,0.09465602,INFORMER,0.31489653,WEATHER,nrmse,0.086000919,69.4
0.05,PMC,nrmse,0.080662973,NBEATS,0.17833618,WEATHER,nrmse,0.064979888,118.62
0.05,SWING,nrmse,0.094554905,NBEATS,0.29854555,WEATHER,nrmse,0.086000919,69.4
0.05,SZ,nrmse,0.102923721,NBEATS,0.354301968,WEATHER,nrmse,0.088055789,29.09
0.05,PMC,nrmse,0.090686627,TRANSFORMER,0.146034508,WEATHER,nrmse,0.064979888,118.62
0.05,SWING,nrmse,0.092584029,DLINEAR,0.320771601,WEATHER,nrmse,0.086000919,69.4
0.05,PMC,nrmse,0.081143565,DLINEAR,0.225006921,WEATHER,nrmse,0.064979888,118.62
0.05,SZ,nrmse,0.116543725,TRANSFORMER,0.323961844,WEATHER,nrmse,0.088055789,29.09
0.05,SZ,nrmse,0.091962539,DLINEAR,0.316181322,WEATHER,nrmse,0.088055789,29.09
0.05,SWING,nrmse,0.103845127,TRANSFORMER,0.241409816,WEATHER,nrmse,0.086000919,69.4
0.05,PMC,nrmse,0.080255434,GRU,0.222243569,WEATHER,nrmse,0.064979888,118.62
0.05,SWING,nrmse,0.096200466,GRU,0.347130355,WEATHER,nrmse,0.086000919,69.4
0.05,SZ,nrmse,0.102216288,GRU,0.389230728,WEATHER,nrmse,0.088055789,29.09
0.07,PMC,nrmse,0.095331833,NBEATS,0.304766889,WEATHER,nrmse,0.086537421,221.58
0.07,SZ,nrmse,0.118507117,DLINEAR,0.469350844,WEATHER,nrmse,0.134588972,48.15
0.07,PMC,nrmse,0.096396171,DLINEAR,0.347632782,WEATHER,nrmse,0.086537421,221.58
0.07,PMC,nrmse,0.094531119,GRU,0.339697016,WEATHER,nrmse,0.086537421,221.58
0.07,SWING,nrmse,0.105387099,DLINEAR,0.403288427,WEATHER,nrmse,0.111131772,135.14
0.07,SWING,nrmse,0.110041171,GRU,0.429246677,WEATHER,nrmse,0.111131772,135.14
0.07,SZ,nrmse,0.137698837,GRU,0.546615138,WEATHER,nrmse,0.134588972,48.15
0.07,SWING,nrmse,0.116124813,TRANSFORMER,0.321627377,WEATHER,nrmse,0.111131772,135.14
0.07,SZ,nrmse,0.152199894,TRANSFORMER,0.482338634,WEATHER,nrmse,0.134588972,48.15
0.07,PMC,nrmse,0.104518801,TRANSFORMER,0.259049575,WEATHER,nrmse,0.086537421,221.58
0.07,SWING,nrmse,0.108441796,NBEATS,0.388372738,WEATHER,nrmse,0.111131772,135.14
0.07,SWING,nrmse,0.107386634,INFORMER,0.396115086,WEATHER,nrmse,0.111131772,135.14
0.07,PMC,nrmse,0.096511096,INFORMER,0.293037828,WEATHER,nrmse,0.086537421,221.58
0.07,SZ,nrmse,0.137641519,INFORMER,0.541573039,WEATHER,nrmse,0.134588972,48.15
0.07,SZ,nrmse,0.137513056,NBEATS,0.51671757,WEATHER,nrmse,0.134588972,48.15
0.1,PMC,nrmse,0.122190282,TRANSFORMER,0.366207781,WEATHER,nrmse,0.117525578,432.19
0.1,SWING,nrmse,0.138721026,INFORMER,0.53252099,WEATHER,nrmse,0.144855514,349.21
0.1,SZ,nrmse,0.177740887,NBEATS,0.626098163,WEATHER,nrmse,0.182806551,79.1
0.1,SZ,nrmse,0.179529116,INFORMER,0.648532868,WEATHER,nrmse,0.182806551,79.1
0.1,SWING,nrmse,0.136029348,DLINEAR,0.537704895,WEATHER,nrmse,0.144855514,349.21
0.1,PMC,nrmse,0.122363657,INFORMER,0.442402297,WEATHER,nrmse,0.117525578,432.19
0.1,SZ,nrmse,0.177425422,TRANSFORMER,0.555937339,WEATHER,nrmse,0.182806551,79.1
0.1,SWING,nrmse,0.143305615,TRANSFORMER,0.450294435,WEATHER,nrmse,0.144855514,349.21
0.1,PMC,nrmse,0.119863898,GRU,0.47924954,WEATHER,nrmse,0.117525578,432.19
0.1,PMC,nrmse,0.121924058,DLINEAR,0.484222368,WEATHER,nrmse,0.117525578,432.19
0.1,SWING,nrmse,0.138534777,NBEATS,0.521232428,WEATHER,nrmse,0.144855514,349.21
0.1,SWING,nrmse,0.14259167,GRU,0.559536935,WEATHER,nrmse,0.144855514,349.21
0.1,SZ,nrmse,0.175300643,GRU,0.643865721,WEATHER,nrmse,0.182806551,79.1
0.1,SZ,nrmse,0.164853111,DLINEAR,0.618534941,WEATHER,nrmse,0.182806551,79.1
0.1,PMC,nrmse,0.121295821,NBEATS,0.453585077,WEATHER,nrmse,0.117525578,432.19
