error,compression,data,eb,metrics,forecasting error,model,compression ratio
0.20729616284370425,swing,ettm1,0.1,rse,0.42140062153339386,nbeats,2.27
0.20729616284370425,swing,ettm1,0.1,nrmse,0.07162183150649071,nbeats,2.27
0.20729616284370425,swing,ettm1,0.1,mae,0.11125873774290083,nbeats,2.27
0.20729616284370425,swing,ettm1,0.1,data_corr,0.9957206845283508,nbeats,2.27
0.2245640754699707,sz,solar,0.15,rmse,0.34752239210836605,nbeats,9.0
0.2245640754699707,sz,solar,0.15,rse,0.4050240477943883,nbeats,9.0
0.2245640754699707,sz,solar,0.15,corr,0.922093200415026,nbeats,9.0
0.2245640754699707,sz,solar,0.15,nrmse,0.0938941713658892,nbeats,9.0
0.2245640754699707,sz,solar,0.15,mae,0.20603723563382095,nbeats,9.0
0.2245640754699707,sz,solar,0.15,data_corr,0.9989724159240724,nbeats,9.0
0.22479891777038571,swing,solar,0.1,data_corr,0.9980397224426271,nbeats,2.3
0.22479891777038571,swing,solar,0.1,rmse,0.3066025545288343,nbeats,2.3
0.22479891777038571,swing,solar,0.1,mae,0.1727414458004415,nbeats,2.3
0.22479891777038571,swing,solar,0.1,corr,0.9357396040264668,nbeats,2.3
0.22479891777038571,swing,solar,0.1,rse,0.3573335431595594,nbeats,2.3
0.22479891777038571,swing,solar,0.1,nrmse,0.08283838236004343,nbeats,2.3
0.23036858439445496,sz,ettm1,0.1,corr,0.9390026926994324,nbeats,8.53
0.23036858439445496,sz,ettm1,0.1,rmse,0.14028507471084595,nbeats,8.53
0.23036858439445496,sz,ettm1,0.1,data_corr,0.9953733086586,nbeats,8.53
0.23036858439445496,sz,ettm1,0.1,mae,0.10703865438699722,nbeats,8.53
0.23036858439445496,sz,ettm1,0.1,nrmse,0.06955514848232269,nbeats,8.53
0.23036858439445496,sz,ettm1,0.1,rse,0.4092409312725067,nbeats,8.53
0.2374612987041473,sz,solar,0.2,mae,0.21402083291564528,nbeats,9.7
0.2374612987041473,sz,solar,0.2,data_corr,0.9986396431922911,nbeats,9.7
0.2374612987041473,sz,solar,0.2,rmse,0.3536227707374062,nbeats,9.7
0.2374612987041473,sz,solar,0.2,corr,0.9208419617572564,nbeats,9.7
0.2374612987041473,sz,solar,0.2,rse,0.4121338056158118,nbeats,9.7
0.2374612987041473,sz,solar,0.2,nrmse,0.09554238169534997,nbeats,9.7
0.2563336491584778,pmc,ettm1,0.15,corr,0.9421896636486052,nbeats,8.32
0.2563336491584778,pmc,ettm1,0.15,rse,0.42998065054416656,nbeats,8.32
0.2563336491584778,pmc,ettm1,0.15,data_corr,0.99350768327713,nbeats,8.32
0.2563336491584778,pmc,ettm1,0.15,nrmse,0.07308010384440422,nbeats,8.32
