eb,compression,tfe_metric,forecasting error,model,TFE,data,te_metric,te
0.023,SZ,nrmse,0.1086306013166904,TRANSFORMER,0.2259655034472377,WEATHER,nrmse,0.0529315620660781
0.025,SZ,nrmse,0.0822054035961628,DLINEAR,0.1530541407256005,WEATHER,nrmse,0.0578782595694065
0.025,SZ,nrmse,0.0904889777302742,GRU,0.2358486977392349,WEATHER,nrmse,0.0578782595694065
0.025,SZ,nrmse,0.0888893343508243,INFORMER,0.2126480273352606,WEATHER,nrmse,0.0578782595694065
0.025,SZ,nrmse,0.0977313593029975,NBEATS,0.2457874844641965,WEATHER,nrmse,0.0578782595694065
0.025,SZ,nrmse,0.1117450483143329,TRANSFORMER,0.2475386241378237,WEATHER,nrmse,0.0578782595694065
0.027,SZ,nrmse,0.0841177515685558,DLINEAR,0.1723087590018634,WEATHER,nrmse,0.0621548555791378
0.027,SZ,nrmse,0.0927484594285488,GRU,0.2544644881556895,WEATHER,nrmse,0.0621548555791378
0.027,SZ,nrmse,0.0906023681163787,INFORMER,0.2275346196240855,WEATHER,nrmse,0.0621548555791378
0.027,SZ,nrmse,0.098106563091278,NBEATS,0.2486719336190845,WEATHER,nrmse,0.0621548555791378
0.027,SZ,nrmse,0.1127823926508426,TRANSFORMER,0.2544595763214631,WEATHER,nrmse,0.0621548555791378
0.03,SZ,nrmse,0.0851500704884529,DLINEAR,0.1823432935948952,WEATHER,nrmse,0.0666409879922866
0.03,SZ,nrmse,0.0954313166439533,GRU,0.2754237015211956,WEATHER,nrmse,0.0666409879922866
0.03,SZ,nrmse,0.0909957699477672,INFORMER,0.2308742176680225,WEATHER,nrmse,0.0666409879922866
0.03,SZ,nrmse,0.0989559926092624,NBEATS,0.2551212675143453,WEATHER,nrmse,0.0666409879922866
0.03,SZ,nrmse,0.112387154251337,TRANSFORMER,0.2518376912334,WEATHER,nrmse,0.0666409879922866
0.05,SZ,nrmse,0.1043338142335414,INFORMER,0.3952240332246756,WEATHER,nrmse,0.0880557894706726
0.05,PMC,nrmse,0.0813263654708862,INFORMER,0.1610384464574953,WEATHER,nrmse,0.0649798884987831
0.05,SWING,nrmse,0.0946560204029083,INFORMER,0.3148965297064452,WEATHER,nrmse,0.086000919342041
0.05,PMC,nrmse,0.0806629732251167,NBEATS,0.1783361802320086,WEATHER,nrmse,0.0649798884987831
0.05,SWING,nrmse,0.0945549048483371,NBEATS,0.2985455495451896,WEATHER,nrmse,0.086000919342041
0.05,SZ,nrmse,0.1029237210750579,NBEATS,0.3543019683820724,WEATHER,nrmse,0.0880557894706726
0.05,PMC,nrmse,0.090686627,TRANSFORMER,0.1460345084838142,WEATHER,nrmse,0.0649798884987831
0.05,SWING,nrmse,0.092584028840065,DLINEAR,0.320771601277215,WEATHER,nrmse,0.086000919342041
0.05,PMC,nrmse,0.0811435654759407,DLINEAR,0.2250069209124501,WEATHER,nrmse,0.0649798884987831
0.05,SZ,nrmse,0.116543725,TRANSFORMER,0.323961843505517,WEATHER,nrmse,0.0880557894706726
0.05,SZ,nrmse,0.0919625386595726,DLINEAR,0.3161813215147082,WEATHER,nrmse,0.0880557894706726
0.05,SWING,nrmse,0.103845127,TRANSFORMER,0.2414098159849137,WEATHER,nrmse,0.086000919342041
0.05,PMC,nrmse,0.0802554339170456,GRU,0.2222435693078038,WEATHER,nrmse,0.0649798884987831
0.05,SWING,nrmse,0.0962004661560058,GRU,0.3471303554080108,WEATHER,nrmse,0.086000919342041
0.05,SZ,nrmse,0.10221628844738,GRU,0.3892307284121759,WEATHER,nrmse,0.0880557894706726
0.07,PMC,nrmse,0.0953318327665329,NBEATS,0.304766888765197,WEATHER,nrmse,0.0865374207496643
0.07,SZ,nrmse,0.1185071170330047,DLINEAR,0.4693508438077387,WEATHER,nrmse,0.1345889717340469
0.07,PMC,nrmse,0.0963961705565452,DLINEAR,0.347632781538212,WEATHER,nrmse,0.0865374207496643
0.07,PMC,nrmse,0.0945311188697815,GRU,0.3396970164612304,WEATHER,nrmse,0.0865374207496643
0.07,SWING,nrmse,0.1053870990872383,DLINEAR,0.4032884271320022,WEATHER,nrmse,0.1111317723989486
0.07,SWING,nrmse,0.1100411713123321,GRU,0.4292466774041271,WEATHER,nrmse,0.1111317723989486
0.07,SZ,nrmse,0.1376988366246223,GRU,0.5466151380086981,WEATHER,nrmse,0.1345889717340469
0.07,SWING,nrmse,0.116124813,TRANSFORMER,0.3216273769155606,WEATHER,nrmse,0.1111317723989486
0.07,SZ,nrmse,0.152199894,TRANSFORMER,0.4823386342174457,WEATHER,nrmse,0.1345889717340469
0.07,PMC,nrmse,0.104518801,TRANSFORMER,0.2590495752051345,WEATHER,nrmse,0.0865374207496643
0.07,SWING,nrmse,0.1084417961537838,NBEATS,0.3883727384583447,WEATHER,nrmse,0.1111317723989486
0.07,SWING,nrmse,0.1073866337537765,INFORMER,0.3961150862508582,WEATHER,nrmse,0.1111317723989486
0.07,PMC,nrmse,0.0965110957622528,INFORMER,0.2930378276141586,WEATHER,nrmse,0.0865374207496643
0.07,SZ,nrmse,0.1376415193080902,INFORMER,0.5415730392425395,WEATHER,nrmse,0.1345889717340469
0.07,SZ,nrmse,0.137513056397438,NBEATS,0.5167175696183881,WEATHER,nrmse,0.1345889717340469
0.1,PMC,nrmse,0.122190282,TRANSFORMER,0.3662077807464262,WEATHER,nrmse,0.117525577545166
0.1,SWING,nrmse,0.1387210264801979,INFORMER,0.5325209904536926,WEATHER,nrmse,0.1448555141687393
0.1,SZ,nrmse,0.1777408868074417,NBEATS,0.6260981629007207,WEATHER,nrmse,0.1828065514564514
0.1,SZ,nrmse,0.1795291155576706,INFORMER,0.6485328679170271,WEATHER,nrmse,0.1828065514564514
0.1,SWING,nrmse,0.1360293477773666,DLINEAR,0.5377048946874036,WEATHER,nrmse,0.1448555141687393
0.1,PMC,nrmse,0.122363656759262,INFORMER,0.4424022971652837,WEATHER,nrmse,0.117525577545166
0.1,SZ,nrmse,0.177425422,TRANSFORMER,0.5559373391260696,WEATHER,nrmse,0.1828065514564514
0.1,SWING,nrmse,0.143305615,TRANSFORMER,0.4502944354273906,WEATHER,nrmse,0.1448555141687393
0.1,PMC,nrmse,0.1198638975620269,GRU,0.47924953971504,WEATHER,nrmse,0.117525577545166
0.1,PMC,nrmse,0.1219240576028824,DLINEAR,0.484222368474925,WEATHER,nrmse,0.117525577545166
0.1,SWING,nrmse,0.138534776866436,NBEATS,0.5212324275647889,WEATHER,nrmse,0.1448555141687393
0.1,SWING,nrmse,0.1425916701555252,GRU,0.5595369345183201,WEATHER,nrmse,0.1448555141687393
0.1,SZ,nrmse,0.1753006428480148,GRU,0.6438657210541758,WEATHER,nrmse,0.1828065514564514
0.1,SZ,nrmse,0.1648531109094619,DLINEAR,0.6185349411399423,WEATHER,nrmse,0.1828065514564514
0.1,PMC,nrmse,0.1212958209216594,NBEATS,0.4535850766301414,WEATHER,nrmse,0.117525577545166
0.15,SZ,nrmse,0.212390281,TRANSFORMER,0.6290413825480085,WEATHER,nrmse,0.2215130925178527
0.15,PMC,nrmse,0.132179923,TRANSFORMER,0.4141073149210413,WEATHER,nrmse,0.1305388808250427
0.15,PMC,nrmse,0.1326765567064285,DLINEAR,0.5260225075369737,WEATHER,nrmse,0.1305388808250427
0.15,SWING,nrmse,0.2135474979877472,DLINEAR,0.7055189021228911,WEATHER,nrmse,0.2415948212146759
0.15,PMC,nrmse,0.1315319165587425,GRU,0.5254446110112124,WEATHER,nrmse,0.1305388808250427
0.15,SZ,nrmse,0.2129988372325897,GRU,0.7068971415499115,WEATHER,nrmse,0.2215130925178527
0.15,SWING,nrmse,0.196702331,TRANSFORMER,0.5995172319539009,WEATHER,nrmse,0.2415948212146759
0.15,SZ,nrmse,0.2163410037755966,NBEATS,0.6928106880104345,WEATHER,nrmse,0.2215130925178527
0.15,SWING,nrmse,0.2045545503497123,GRU,0.692960317717305,WEATHER,nrmse,0.2415948212146759
0.15,SZ,nrmse,0.2176448330283165,INFORMER,0.7100846250632666,WEATHER,nrmse,0.2215130925178527
0.15,SWING,nrmse,0.1995745375752449,NBEATS,0.6676632218516826,WEATHER,nrmse,0.2415948212146759
0.15,SZ,nrmse,0.2132473587989807,DLINEAR,0.7051044289105536,WEATHER,nrmse,0.2215130925178527
0.15,PMC,nrmse,0.1329579055309295,NBEATS,0.5015125544484857,WEATHER,nrmse,0.1305388808250427
0.15,SWING,nrmse,0.1766166538000106,INFORMER,0.6328252932725072,WEATHER,nrmse,0.2415948212146759
0.15,PMC,nrmse,0.1323604509234428,INFORMER,0.4845160057751374,WEATHER,nrmse,0.1305388808250427
0.2,SWING,nrmse,0.152987115,TRANSFORMER,0.4850815116031177,WEATHER,nrmse,0.1604363769292831
0.2,PMC,nrmse,0.1471397280693054,DLINEAR,0.5726123564213654,WEATHER,nrmse,0.1445388346910476
0.2,SZ,nrmse,0.21920564,TRANSFORMER,0.6405749186015469,WEATHER,nrmse,0.224343940615654
0.2,PMC,nrmse,0.146129601,TRANSFORMER,0.4700372171686146,WEATHER,nrmse,0.1445388346910476
0.2,SWING,nrmse,0.1541195213794708,DLINEAR,0.591967966851485,WEATHER,nrmse,0.1604363769292831
0.2,SZ,nrmse,0.2215106859803199,INFORMER,0.7151442916119491,WEATHER,nrmse,0.224343940615654
0.2,PMC,nrmse,0.1474733352661132,NBEATS,0.5505774208307195,WEATHER,nrmse,0.1445388346910476
0.2,SZ,nrmse,0.218065157532692,DLINEAR,0.7116196719922404,WEATHER,nrmse,0.224343940615654
0.2,SWING,nrmse,0.1483663469552993,INFORMER,0.5629118773022824,WEATHER,nrmse,0.1604363769292831
0.2,SZ,nrmse,0.2203001976013183,NBEATS,0.6983314367006278,WEATHER,nrmse,0.224343940615654
0.2,PMC,nrmse,0.144832544028759,INFORMER,0.5289063354029602,WEATHER,nrmse,0.1445388346910476
0.2,SZ,nrmse,0.2159716412425041,GRU,0.7109316404679403,WEATHER,nrmse,0.224343940615654
0.2,PMC,nrmse,0.1426791399717331,GRU,0.5625206330838483,WEATHER,nrmse,0.1445388346910476
0.2,SWING,nrmse,0.1559169664978981,GRU,0.5971806945737244,WEATHER,nrmse,0.1604363769292831
0.2,SWING,nrmse,0.1546817421913147,NBEATS,0.5712101643116781,WEATHER,nrmse,0.1604363769292831
0.25,PMC,nrmse,0.1448163390159607,INFORMER,0.5288536198121927,WEATHER,nrmse,0.1445171386003494
0.25,SWING,nrmse,0.136017695069313,INFORMER,0.5232299148345101,WEATHER,nrmse,0.1387228518724441
0.25,PMC,nrmse,0.142660416662693,GRU,0.5624632165868475,WEATHER,nrmse,0.1445171386003494
0.25,SZ,nrmse,0.4144429415464401,GRU,0.8493626944001854,WEATHER,nrmse,0.4672952592372894
0.25,SWING,nrmse,0.1393662542104721,NBEATS,0.5240888176700855,WEATHER,nrmse,0.1387228518724441
0.25,PMC,nrmse,0.1474487707018852,NBEATS,0.5505025482511858,WEATHER,nrmse,0.1445171386003494
0.25,SZ,nrmse,0.3524794578552246,NBEATS,0.8114566888256679,WEATHER,nrmse,0.4672952592372894
0.25,SZ,nrmse,0.3744972348213196,INFORMER,0.8315112168970947,WEATHER,nrmse,0.4672952592372894
0.25,SWING,nrmse,0.138836920261383,GRU,0.547624911078321,WEATHER,nrmse,0.1387228518724441
0.25,PMC,nrmse,0.146108098,TRANSFORMER,0.4699592215621066,WEATHER,nrmse,0.1445171386003494
0.25,SWING,nrmse,0.1396958082914352,DLINEAR,0.5498383063495467,WEATHER,nrmse,0.1387228518724441
0.25,PMC,nrmse,0.1471180170774459,DLINEAR,0.5725492845431897,WEATHER,nrmse,0.1445171386003494
0.25,SZ,nrmse,0.396505475,TRANSFORMER,0.8012940300509092,WEATHER,nrmse,0.4672952592372894
0.25,SWING,nrmse,0.139950208,TRANSFORMER,0.4371148487324863,WEATHER,nrmse,0.1387228518724441
0.25,SZ,nrmse,0.4299302995204925,DLINEAR,0.8537304727615643,WEATHER,nrmse,0.4672952592372894
0.3,SZ,nrmse,0.4144942164421081,GRU,0.8493813289475974,WEATHER,nrmse,0.4673601388931274
0.3,PMC,nrmse,0.1474294289946556,NBEATS,0.5504435773376345,WEATHER,nrmse,0.14450004696846
0.3,PMC,nrmse,0.1471009254455566,DLINEAR,0.5724996191161553,WEATHER,nrmse,0.14450004696846
0.3,SWING,nrmse,0.452885389,TRANSFORMER,0.8260577710975789,WEATHER,nrmse,0.611397922039032
0.3,SWING,nrmse,0.4972545355558395,GRU,0.8736937329718889,WEATHER,nrmse,0.611397922039032
0.3,SWING,nrmse,0.3698059618473053,INFORMER,0.824640014622083,WEATHER,nrmse,0.611397922039032
